,video_id,comments
0,pmj9gF7H_lQ,"['Toh bachon tumhe iss video se kya shiksha milti hai?', ""Bro I'm from Pakistan but we I support you ❣️ love you Bhai I laugh a lot 💝😂"", 'Carry bags please rost sahid anwar', 'Last part 😂 ek number bro 😝', 'Im from pakistan But Love alot 😆😆😆😂😂', 'Sprit😆😆😆', '2:50', 'Legend is back carry on fire all time 🔥🔥', 'Love\nYou', 'Katai chutiya topic hain or usebhi ghatiya video']"
1,l6BChpns5w8,"['MALE BEST FRIEND SE SAVDHAAN RAHE!', 'Siraaaaa bhai', 'Iska pata nahi kiya motivational video banate hai kis type ka motivation video hai samaj ma he nhi ata 🤯🤯🤯', 'Maturity is when you realise Carryminati is a real cringe 😬', '🤣🤣🤣🤣👌👌', 'I am ur fan bro,,, till before seeing this video,,, roasting is good,, but you can use this skill in good way, against the politicians.....', 'End cary bhra', 'Please roast Anand shinde', 'Aapse toh Shivam ji bahot acche hi hai 😠', 'Aapne video banane sey pehle kya Shivam ji se permission li thi?']"
2,-LIMVVfRp6Q,"['Agar Video pasand aaye toh please share kardena 🙏🙏', 'My fav part Maggie 😂😂 jitni bar dekhu same maza ata hai😁', 'Maa chodh denge uss balak ki jisne khayi sabji daal palak ki 🥦', 'Bakbass video kyu banata h tu', '4 mln likes to mil gaye vai next part kab milega?', 'Carry bhai bharat eating show channel pe roast video banao part 2 mein. Aur ha ye video bohot sahi tha yarrrr 🤣😂🤣😂', 'I am back baby 😘', 'Ughhhh 🤢🤢🤮🤮🤢🤢🤮🤮', 'કેરી મિનિસ્ટર સહી બોલના ર સહી બોલ રહે હૈ કોઈ ગલત કમેન્ટ ન કરે અને', '🤣🤣🤣']"
3,G6qLfTA2PFw,"['Me', 'Pharmacy wala joke was beast', '8:07 is best pert ever', 'Tff', '3 million ho jayega 😅😀', 'The only 1 channel almost everyone watch without skipping 👊💥....', 'Way he read question at 4:30🤣🤣', 'East or West caRRy is The best..big fan.. Of carry..bina banchudi ke😶', ""Backchodi honi bhi kam nhi chaiye and u r my favourite that's why I love you most of all"", '😂']"
4,0jUj3rfO7eM,"[""This video got yellow sign so youtube won't recommend it, please share this as much as you can <3 \nalso report all the spammers :)"", 'Carry has the best way of giving ads of his sponsors', 'Hahah😂😂😂😂😂', 'OPBHAI', ',🤣🤣😤😤😤😤', 'Bhi apki video ko 100000000000 like deta agar meri chalti', 'Bhai op content , finally the roaster is back', 'Carry bhai ap bts army ho 💜💜', 'Litrely Kia chuthia ka baccha he joginder', 'Carry bhaiya uski jal gyi🤣🤣🤣']"
5,xLjMzNKUXKs,"['6:33', '8:50 ke baad captions off timed hai', 'Hello carry bhai aapki madad chahie thi ek please kar do', 'This was sort of boring', 'Bhai ne tik tok giraya he samajh rahe ho', '🤣🤣🤣🤣🤣🤣', '1:53 liked the fact that it has baby Yoda with makeup instead of old Yoda because of pink theme. 😂😂', '🤣🤣🤣', 'That japanese song name?', '😂😂😂😂😂😂😂😈😈😈😈']"
6,Q9eh308Mstc,"['Twitter toh bik gaya bhai', 'Carry bhai ek banda paras chor bi hai meting me', 'Hello carry bhai aapki madad chahie thi ek please kar do', 'आज देख ते है इस झंडे🇮🇳 को कितने लाइक मिलते है', 'https://youtube.com/channel/UCFm6f3OvHmtAN7ziyjSE8UA', 'Who like to watch more content like this 😅❤', 'Amazing. And funny.  I would love to see more like this.', 'The Office vibes.', 'Kya tha yeh...😎khuch maja nhi aaya bro', 'This was legit😂']"
7,ZAvKl1RRVh8,"['The only 1 channel almost everyone watch without skipping 👊💥..k', ""Mom's age\n1 views = 99999k years"", ',😂😂😂😂😂', '😂😂😂', 'Gyan ka chode..😅😅', 'Sahi he....Gyan ke cho**', 'still 2.8 million likes', 'Sharam aati hai k wo bhi maang k leni padegi??🤣🤣🤣', 'Tumhe kitni sharam ani chahiye \n1like=adha kilo sharam', 'Le li bhai khol ke leli 😂']"
8,d7sewLjzNs0,"['Bro big boss season 16 ka roast kab karoge 🤣🤣', 'Salman Khan wala twist mast tha 🤣', '19:52 amazing🤣🤣🤣🤣🤣🤣', 'Nice video', '17:01', 'आज देख ते है इस झंडे🇮🇳 को कितने लाइक मिलते है', ""When carry said 'Hein'🤣🤣"", 'Bhai thankyou', 'BTS ARMY like 💜', 'I love big boss']"
9,7mFvyrNHZRY,"['Lagi hai chot? Vardaan hai na koi saza ❤️', 'Dinchak Pooja -100%\nCarryminati +100%', 'Respect for cinematographeres 💖', 'Close your eyes 😭', 'You deserve it 😃💥', 'The only 1 channel almost everyone watch without skipping 👊💥.....', 'Bahut emotional hai 😖😖😖😖😖😖', '1:43 this line is for me 😔', 'You are best sing vardaan song', '👍👍👍👍👍']"
